lever,target,spearman,preset
survivor_elasticity,final_fed_deficit_B,-0.084032268032268,Windfall Trust — Medium
ubi_recapture_rate,final_fed_deficit_B,0.0837716397716397,Windfall Trust — Medium
ui_weeks,final_fed_deficit_B,0.0737169347057605,Windfall Trust — Medium
auto_cost,final_fed_deficit_B,-0.0649778209778209,Windfall Trust — Medium
attrition_rate,final_fed_deficit_B,-0.0628461868461868,Windfall Trust — Medium
equity_taxable_share,final_fed_deficit_B,-0.0422530142530142,Windfall Trust — Medium
state_rate_hike_cap,final_fed_deficit_B,0.026087786087786,Windfall Trust — Medium
shareholder_eff_rate,final_fed_deficit_B,0.0253298893298893,Windfall Trust — Medium
robotics_lag,final_fed_deficit_B,0.025006741006741,Windfall Trust — Medium
survivor_spillover_to_profit,final_fed_deficit_B,0.0208736728736728,Windfall Trust — Medium
interest_rate,final_fed_deficit_B,0.0171272451272451,Windfall Trust — Medium
price_passthrough,final_fed_deficit_B,-0.0155413355413355,Windfall Trust — Medium
equity_pe_multiple,final_fed_deficit_B,-0.0148603228603228,Windfall Trust — Medium
baseline_growth_rate,final_fed_deficit_B,-0.0139416139416139,Windfall Trust — Medium
survivor_raise_ceiling,final_fed_deficit_B,-0.0138951378951378,Windfall Trust — Medium
cg_realization_rate,final_fed_deficit_B,0.0054665934665934,Windfall Trust — Medium
productivity_passthrough,final_fed_deficit_B,-0.0036482676482676,Windfall Trust — Medium
demand_multiplier,final_fed_deficit_B,0.5136347976347976,China-Shock Grind
adoption_end,final_fed_deficit_B,0.4481043401043401,China-Shock Grind
mpc,final_fed_deficit_B,0.3736412874073321,China-Shock Grind
consumption_stickiness,final_fed_deficit_B,0.3257137166392296,China-Shock Grind
lfp_exit_rate,final_fed_deficit_B,0.2625328185328185,China-Shock Grind
cognitive_feasibility,final_fed_deficit_B,0.2575389295389295,China-Shock Grind
survivor_elasticity,final_fed_deficit_B,-0.2311272511272511,China-Shock Grind
physical_feasibility,final_fed_deficit_B,0.1288671448671448,China-Shock Grind
reemployment_haircut,final_fed_deficit_B,0.1101724101724101,China-Shock Grind
reabsorption_rate,final_fed_deficit_B,-0.0989574509574509,China-Shock Grind
survivor_gains_share,final_fed_deficit_B,-0.0807055647055647,China-Shock Grind
survivor_raise_ceiling,final_fed_deficit_B,0.0662310062310062,China-Shock Grind
productivity_passthrough,final_fed_deficit_B,0.0558430158430158,China-Shock Grind
ssdi_annual,final_fed_deficit_B,0.0519849999849999,China-Shock Grind
attrition_rate,final_fed_deficit_B,-0.0517151197151197,China-Shock Grind
ubi_recapture_rate,final_fed_deficit_B,0.0472462792462792,China-Shock Grind
interest_rate,final_fed_deficit_B,0.0402376722376722,China-Shock Grind
shareholder_eff_rate,final_fed_deficit_B,-0.0351741111741111,China-Shock Grind
price_passthrough,final_fed_deficit_B,-0.0284812004812004,China-Shock Grind
survivor_spillover_to_profit,final_fed_deficit_B,0.02804542004542,China-Shock Grind
retained_profit_share,final_fed_deficit_B,0.0263260223260223,China-Shock Grind
compute_effective_rate,final_fed_deficit_B,-0.0254927654927654,China-Shock Grind
auto_cost,final_fed_deficit_B,0.0249785289785289,China-Shock Grind
equity_pe_multiple,final_fed_deficit_B,0.0211583131583131,China-Shock Grind
robotics_lag,final_fed_deficit_B,-0.0185934545934545,China-Shock Grind
baseline_growth_rate,final_fed_deficit_B,-0.008055704055704,China-Shock Grind
state_rate_hike_cap,final_fed_deficit_B,0.0076331956331956,China-Shock Grind
price_reduction_share,final_fed_deficit_B,0.0068424668424668,China-Shock Grind
equity_taxable_share,final_fed_deficit_B,0.0056253056253056,China-Shock Grind
cg_realization_rate,final_fed_deficit_B,0.0035909435909435,China-Shock Grind
ui_weeks,final_fed_deficit_B,0.0007994217891635,China-Shock Grind
lfp_exit_rate,final_fed_deficit_B,0.5148924948924949,Korinek-Suh — AGI in 20 years
demand_multiplier,final_fed_deficit_B,0.3991112551112551,Korinek-Suh — AGI in 20 years
ssdi_annual,final_fed_deficit_B,0.3789409269409269,Korinek-Suh — AGI in 20 years
attrition_rate,final_fed_deficit_B,-0.2519165519165519,Korinek-Suh — AGI in 20 years
mpc,final_fed_deficit_B,0.2394555086295165,Korinek-Suh — AGI in 20 years
consumption_stickiness,final_fed_deficit_B,0.2202164211168869,Korinek-Suh — AGI in 20 years
reabsorption_rate,final_fed_deficit_B,-0.2138016818016818,Korinek-Suh — AGI in 20 years
adoption_end,final_fed_deficit_B,0.1668006242864379,Korinek-Suh — AGI in 20 years
