period,p10,p25,p50,p75,p90,base,preset
5,206.1946059108327,230.60427288144336,255.4800247704484,279.89980377302356,303.15859199007616,281.1076740757759,AI 2040 — Plan A (The Deal)
6,590.2235620200925,653.4004974466175,717.8107120705959,774.9498583661228,822.2464433098169,776.1405371432248,AI 2040 — Plan A (The Deal)
7,901.5630111720596,995.5275114031464,1093.5111098220732,1180.976780039643,1255.4057287099406,1188.108688589528,AI 2040 — Plan A (The Deal)
8,1223.6724980145268,1361.01044160496,1492.9292430864075,1620.580097912516,1730.709990725468,1650.1073276342229,AI 2040 — Plan A (The Deal)
9,1432.9286782587835,1610.5251783399126,1781.7577157351452,1984.1949838580224,2144.9419763605583,2089.8125977125665,AI 2040 — Plan A (The Deal)
10,1359.344447732154,1549.6052981821754,1762.4514173577036,2031.200295722486,2250.0330851647873,2156.183464579345,AI 2040 — Plan A (The Deal)
11,1334.8606584845334,1550.4792745350455,1795.801916613072,2109.5166460510927,2334.4092303976686,2259.725607224798,AI 2040 — Plan A (The Deal)
12,1301.0143878122317,1522.5627674477037,1804.1979080070237,2139.6020283842536,2353.0137749359715,2306.7761940859427,AI 2040 — Plan A (The Deal)
13,1268.2104400045623,1499.7884761606388,1809.7638200924184,2141.218706329085,2343.4712270167956,2318.341039997618,AI 2040 — Plan A (The Deal)
0,66.3979241128511,74.80593098596971,83.04957960768516,89.94348700486762,94.26265175382328,90.79988419058002,AI 2040 — Plan D (The Race)
1,108.06700020998557,119.94491115927087,131.84847739205856,142.60634454156457,150.62665032097306,147.39006314499474,AI 2040 — Plan D (The Race)
2,150.89368143306226,166.63321820178624,185.2055978242251,204.71838360115737,221.88059097047747,213.23730979866292,AI 2040 — Plan D (The Race)
3,181.43942321137695,201.34594277623813,227.1537096793911,256.3445622043957,286.2039487794573,266.7730898387879,AI 2040 — Plan D (The Race)
4,206.75357343472797,230.22282136046104,263.4087542706044,302.1420305796713,344.937422079657,314.2341894292215,AI 2040 — Plan D (The Race)
5,824.7761207846876,905.6249791887452,985.5336612007357,1058.7237206458376,1131.356133631849,1091.9154861446552,AI 2040 — Plan D (The Race)
6,1622.375964728091,1758.12442980128,1879.7167452147223,2003.6102305025563,2105.9251379084553,2078.3650333199425,AI 2040 — Plan D (The Race)
7,2399.092667678143,2539.9387499558625,2667.144097612412,2801.414639641992,2903.2646943456816,2829.245551794044,AI 2040 — Plan D (The Race)
8,2515.0439928098913,2626.7715393514877,2739.1010748297704,2844.9641452335604,2926.312790043708,2748.377246371814,AI 2040 — Plan D (The Race)
9,2651.9983331193066,2761.5639808703622,2874.370194782924,3003.140668322871,3097.382233156634,2858.8079657536327,AI 2040 — Plan D (The Race)
0,22.75580255059244,25.67113218873868,29.906250504848636,34.387158560834784,38.887825022421346,30.248130461729204,"Karger et al. — Expert survey, rapid (P≈14%)"
1,16.921194553580406,19.364539856303516,22.72240421161671,26.46573991833144,30.083741940428027,23.307878607192148,"Karger et al. — Expert survey, rapid (P≈14%)"
2,13.029901788600254,15.561564635675587,18.866994935606595,22.69908543728703,26.98200078532654,19.6589141991742,"Karger et al. — Expert survey, rapid (P≈14%)"
3,8.420623599884694,11.468961953845923,15.141899912696127,19.504768502480697,24.233684911704326,15.94641460855236,"Karger et al. — Expert survey, rapid (P≈14%)"
4,3.047356274270836,6.684422112645182,10.95754839102058,15.898717075160723,21.075758791194673,11.71324569273114,"Karger et al. — Expert survey, rapid (P≈14%)"
5,-2.599851464769916,1.5326154583806386,6.579929190219458,12.20901687625081,18.35063117755494,7.254706537375701,"Karger et al. — Expert survey, rapid (P≈14%)"
6,-9.517230230156366,-3.9474837673840897,1.9290576067928489,8.57980855254169,15.007346378310515,2.5417398392120893,"Karger et al. — Expert survey, rapid (P≈14%)"
7,-16.689183560063107,-9.942327048187815,-3.1607449048970366,4.341015165533749,11.634809440505032,-2.373110388185089,"Karger et al. — Expert survey, rapid (P≈14%)"
8,-24.367291572279846,-16.4574213885986,-9.052532901558893,-0.1223385194476166,7.7776799506472445,-7.484652787791933,"Karger et al. — Expert survey, rapid (P≈14%)"
9,-32.68473191894998,-23.920612300524496,-15.618027289209074,-6.217489805394238,2.966286195560775,-15.461113498143304,"Karger et al. — Expert survey, rapid (P≈14%)"
0,12.375597243476255,14.242149414586825,16.537056237274108,18.96802118572859,21.09269010499693,16.61142537616901,"Metaculus — Crowd median, 2035"
1,13.120022221537708,15.186941640092227,17.719669046609916,20.525950067404384,23.27062224638366,17.963794479250677,"Metaculus — Crowd median, 2035"
2,7.538690923930123,9.949316363001913,12.82182074507772,15.844285042834386,19.24524034346786,13.04944627892407,"Metaculus — Crowd median, 2035"
3,-1.6391415246795251,1.7213502663847138,5.307299487170061,8.986429313837368,12.795742136220044,5.13998975612986,"Metaculus — Crowd median, 2035"
4,-13.178770202708597,-8.656587745674198,-4.009503396259719,0.3346857287693115,4.968533106868469,-4.74946577488809,"Metaculus — Crowd median, 2035"
5,-25.7787242146958,-19.867239739248618,-14.2085586475135,-8.737926108654717,-3.248311659929267,-15.13823410532277,"Metaculus — Crowd median, 2035"
6,-39.84268030540819,-32.712874368329395,-25.077503427099792,-18.85710810903471,-12.153160849405204,-26.426136544554673,"Metaculus — Crowd median, 2035"
7,-55.716203303740784,-47.705873601895235,-38.28964079932564,-30.45101455118547,-22.251403434407397,-38.32128756523676,"Metaculus — Crowd median, 2035"
8,-72.92846157736709,-64.03784613207395,-52.27548351631307,-42.45164830555781,-33.5697093564815,-55.15059633436272,"Metaculus — Crowd median, 2035"
9,-90.73871303094472,-79.98401214121542,-66.57936912529496,-55.38606699174155,-45.6449887661553,-69.32972349239238,"Metaculus — Crowd median, 2035"
0,50.261703594023906,57.51387795366992,65.53740616533156,74.62678725511466,83.2758765018313,66.60326356120228,OpenAI — Jobs transition framework
1,22.651704745408985,26.99902792012959,32.40369086003092,39.661397033971326,45.80279255713112,34.253685389802676,OpenAI — Jobs transition framework
2,1.0445039469927866,6.065052927103457,12.205520283744931,19.21735489014325,25.85780534417209,13.06288250036995,OpenAI — Jobs transition framework
3,-13.927464705443176,-7.55661002619663,-0.9042179744001344,5.878072582490753,12.680664187277056,-0.8338998705932827,OpenAI — Jobs transition framework
4,-31.036579936627035,-23.071672102420735,-15.156365771952167,-7.380524112489818,0.2054944932702008,-15.494807838858938,OpenAI — Jobs transition framework
5,-46.314465819107674,-36.86091547494176,-27.54142091444621,-18.849443775824312,-11.036747185001156,-28.71212886843134,OpenAI — Jobs transition framework
6,-63.499011735463675,-51.67102953593312,-40.502378220853224,-30.743179271562536,-22.49242298917946,-42.22596687766587,OpenAI — Jobs transition framework
7,-79.59934887498838,-66.64485022183791,-53.50852313887806,-42.49026725604551,-32.71383683107081,-55.487403009382994,OpenAI — Jobs transition framework
8,-130.12043611953737,-112.06949154167856,-94.63588718874982,-80.75551918047597,-68.76974919512459,-98.14268048779064,OpenAI — Jobs transition framework
9,-147.95641361588005,-128.19988786570931,-110.6844839763005,-95.66646226524313,-82.3820282523964,-114.17702849635994,OpenAI — Jobs transition framework
