group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Total
Federal outlay changes,Unemployment insurance,flow,39.42000723139804,43.22315249563653,47.02629775987502,50.82944302411354,54.63258828835201,58.4357335525905,62.23887881682898,66.04202408106748,69.845169345306,73.64831460954443,77.45145987378297,58.43573355259057,58.43573355259055,58.435733552590435,58.43573355259057,58.43496918056171,53.49981315116151,33.33755602811427,3.9499934347608447,0.0,1025.758335083456
Federal outlay changes,SSDI,flow,0.0,3.674742682851986,11.723543789926786,24.92684020848238,43.4078956392827,67.21446628300107,96.2701759943094,130.46360201301442,169.65195340987,213.6744798657379,262.35438738047895,315.5008124558193,370.69122027761506,427.470396603919,485.34334255165555,544.0661814289102,603.4214007085671,662.7594438676716,719.7350191837243,770.1258993337182,5922.475803678555
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,59.29627741040932,96.09573568156202,143.78567655590763,199.2161898440482,262.074839867049,331.6372262563288,407.58080863031114,489.5592440894293,577.2695067866276,670.3968847906768,768.6184794916703,838.0249400637575,923.6775763754783,1008.2984972587155,1092.804283553945,1177.0142181250637,1253.5870646131061,1300.6563123552237,1309.8927846811166,1335.6241260569645,14245.110672487392
Net,Net fiscal impact (federal),net,-82.21282529772681,-205.94256734178666,-363.8055725352758,-537.6556884811903,-716.5095438020061,-894.8838364585638,-1069.1875041857988,-1236.9649650458737,-1396.1916446547698,-1545.0576358697463,-1681.8244563509502,-1775.3364253142,-1855.455099937291,-1918.3377900084934,-1968.9770887842574,-2008.187801534268,-2055.0470893997704,-2084.671463122649,-2027.0011067884902,-1989.667464077028,-27412.91756899014
Levels,Federal revenue (absolute),level,4959.883452112683,4872.953168339775,4762.780104020632,4644.3605013628585,4528.365296065043,4419.553389797765,4321.193304444512,4235.394279043556,4163.877862131858,4108.13924892093,4069.5940231407203,4045.488514749558,4051.022476438188,4072.7607072502224,4106.627194769688,4151.626416590796,4181.3399752133355,4198.784849232575,4265.691677892626,4328.756661979937,4328.756661979937
Levels,Federal deficit (absolute),level,1915.2128252977268,2038.9425673417868,2196.8055725352756,2370.6556884811903,2549.509543802006,2727.8838364585636,2902.1875041857993,3069.9649650458737,3229.1916446547702,3378.0576358697463,3514.82445635095,3608.3364253142,3688.455099937291,3751.3377900084934,3801.9770887842574,3841.187801534268,3888.0470893997704,3917.6714631226496,3860.0011067884902,3822.667464077027,3822.667464077027
Levels,Federal debt (Δ cumulative),level,82.21282529772681,291.4439056514226,666.9072344127552,1231.2392122704557,1996.9983245632802,2971.762094004375,4159.82008195035,5563.177850274237,7181.896608939976,9014.230109167322,11056.623769884965,13274.225145994562,15660.649251771636,18205.413011850997,20902.60662110929,23746.898687487934,26751.821724387224,29906.56605648536,33129.82980553326,36444.690461831626,36444.690461831626
Levels,Deficit (% of GDP),level,6.381325577565403,6.250394951975949,6.190434023354325,6.135913442512405,6.056720291805165,5.944275965701796,5.797550559726441,5.6193014162707255,5.4135831698345696,5.18488460540129,4.9376545045658515,4.670462753516338,4.401188301232579,4.128670517101726,3.8614305521595744,3.601852433670734,3.375570411812849,3.1747224759826325,2.9473697668760623,2.753644364521804,2.753644364521804
State & local,State income tax,flow,-11.926342557389859,-26.348414639536042,-43.60137739348369,-61.93444371091865,-81.16318179296323,-100.9539170467764,-121.20962086758482,-141.8396838969455,-162.78946132082214,-184.0112894447852,-205.4684288303921,-222.3389049652647,-237.94625344527898,-252.41720665436262,-266.3479860639749,-279.75562870555495,-291.14139946258103,-294.28548400348535,-285.9416670526477,-278.1540309616516,-3549.574722816399
