period,adoption,employed_M,on_ui_M,exhausted_M,reabsorbed_M,exited_M,induced_M,retired_M,population_M,max_cell_resid_M,employment_drop_pct,revenue_lost_B,revenue_lost_pct,transfers_added_B,corp_offset_B,compute_pool_tax_B,saved_bill_B,automation_spend_B,net_saving_B,retained_profit_B,price_reduction_B,survivor_gains_B,offshore_leak_B,fed_deficit_B,fed_debt_B,price_level,productivity_index,fed_deficit_real_B,fed_debt_real_B,fed_deficit_pct_gdp,fed_debt_pct_gdp,state_gap_pct_gdp,headline_deficit,survivor_gain_fed_B,survivor_gain_state_B,survivor_wage_cost_B,survivor_overflow_profit_B,survivor_overflow_price_B,survivor_overflow_corp_tax_B,survivor_market_frac,survivor_slack_prev,W_survivor,W_survivor_mech,W_reab,refuge_capacity,inc_fed_loss_B,payroll_fed_loss_B,transfer_fed_B,ui_outlay_fed_B,ui_tax_fed_B,ubi_outlay_B,swf_revenue_B,fed_vat_B,shareholder_cg_tax_B,shareholder_realized_B,shareholder_windfall_stock_B,shareholder_undist_B,ubi_recapture_B,automation_tax_B,ssdi_outlay_B,income_surcharge_fed_B,corp_surcharge_fed_B,excise_surcharge_fed_B,income_surcharge_state_B,corp_surcharge_state_B,cons_surcharge_state_B,state_net_total_B,inc_state_loss_B,cons_state_loss_B,transfer_state_B,state_gap_B,ubi_required_rate,state_rate_hike_B,state_spending_cut_B,state_close_residual_B,n_states_capped,state_balanced,induced_pending_M,standing_withdrawal_B,fed_revenue_B,fed_deficit_abs_B,fed_deficit_abs_pct_gdp,state_fiscal_position_B
0,0.2,137.62161029843563,16.33218970156438,0.0,0.0,0.0,0.0,0.0,153.9538,0.0,10.608500538190269,434.438525364348,12.029708056065765,259.4511830159281,178.3231549745564,25.39802508705933,1693.201672470622,507.9605017411866,1185.2411707294355,829.6688195106049,237.0482341458871,118.52411707294358,0.0,372.9051537083975,372.9051537083975,0.9963265208395012,1.1012604992161044,374.28006372267294,374.28006372267294,1.1600255274875675,1.1600255274875675,0.25298425220492243,372.9051537083975,31.52392811385329,3.985280527328226,118.52411707294469,0.0,0.0,0.0,-0.0,0.0,1.0096329471126493,1.0096329471126493,1.0,0.9678024965012039,195.60533860812035,191.12781652666814,79.5050807160451,157.68002892559215,15.768002892559219,0.0,0.0,0.0,0.0,0.0,602.6650251837212,139.50579286660212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.32504778459858,47.705370229559435,15.338884708076508,22.266073374290865,81.32504778459858,0.0,81.32504778459858,0.0,0.0,0,True,3.9234253973187645,654.9516207536559,4847.07995593324,2205.9051537083974,6.862083465650164,3515.0
1,0.36,116.19572807425813,17.502456826858722,13.586573149339747,1.580633396650526,0.8166094850782191,3.9234253973187645,0.3483736704958909,153.9538,1.164153218269348e-16,24.525586199068727,915.3310828587953,25.345739520221372,414.2667446831603,354.4511721213762,50.23313190707654,3348.875460471769,1004.6626381415307,2344.2128223302384,1640.9489756311668,468.8425644660477,234.4212822330239,0.0,844.8706166100519,1232.6919764667855,0.99333382693944,1.20027667492504,850.5404665551177,1240.9644603212917,2.23949848334487,3.2674965343278246,0.5367157276686654,844.8706166100519,-82.7731649521829,-10.474572236150788,234.42128223302464,0.0,0.0,0.0,-0.05304250269095134,0.10608500538190269,0.9697227809452815,1.0227652836362329,1.0,0.8751984115373156,410.10892714425654,404.10577967417237,191.95213953305654,167.21799199424945,16.721799199424943,0.0,0.0,0.0,4.580254191396281,24.106601007348846,1163.5361944780116,274.91731376975935,0.0,0.0,14.698970731407943,0.0,0.0,0.0,0.0,0.0,0.0,202.48075680875928,101.11637604036638,35.79319537638771,55.09661315585436,202.48075680875928,0.0,202.48075680875928,0.0,0.0,0,True,7.854411665836234,1966.1170258920856,4511.798485648662,2677.870616610052,7.098231452946772,3515.0
2,0.52,86.89512174546788,21.446194662954035,26.143329724441852,4.64491792934287,2.5672322537540806,11.153691311739681,1.1033123722996168,153.9538,1.164153218269348e-16,43.557663568247186,1521.6012218250137,42.13350660132322,637.1304229204949,560.32984986124,79.08307139408906,5272.204759605937,1581.6614278817813,3690.5433317241564,2583.3803322069093,738.1086663448312,369.0543331724158,0.0,1410.654157856385,2692.6538133818417,0.9904230663054503,1.3152997629326886,1424.2945321523173,2718.6905323461206,3.1687535834692593,6.048510453590946,0.7737049374915488,1410.654157856385,-139.8640218265851,-17.666161120706374,369.05433317241517,0.0,0.0,0.0,-0.11662695034528703,0.23325390069057406,0.9314244351024821,1.048051385447769,1.0,0.7231755868713374,679.1945037341785,673.7088188298989,336.57706135366624,203.728186530939,20.3728186530939,0.0,0.0,0.0,8.842875078032888,46.54144777912046,1793.390961582453,431.4905116594727,0.0,0.0,46.21018056757345,0.0,0.0,0.0,0.0,0.0,0.0,344.43514090847447,168.69789926093637,61.245905490941944,96.82517503588964,344.43514090847447,0.0,344.43514090847447,0.0,0.0,0,True,8.767910379180178,3325.585169630958,4158.661270595794,3243.6541578563847,7.2862229760561865,3515.0
3,0.6799999999999999,52.73727886723836,25.38993249904933,40.72427769661661,8.89308387813606,5.504393038710859,18.31257442381452,2.392259596434257,153.9538,1.164153218269348e-16,65.74473714371561,2188.8054866487264,60.60855439516219,883.5463625010776,795.9591881941478,111.94784354809691,7463.189569873127,2238.956870961938,5224.23269891119,3656.9628892378323,1044.8465397822379,522.4232698911192,0.0,1951.9537672785825,4752.313733195699,0.9876713335404257,1.44632976323905,1976.3191468578634,4811.634773442764,3.702366450628992,9.013946551192083,0.9304156794023366,1951.9537672785825,-113.01223222188159,-14.168333108219173,522.4232698911195,0.0,0.0,0.0,-0.2005569262632128,0.4011138525264256,0.9102188776765512,1.110775803939764,1.0,0.5117340225032692,974.4273313747736,971.1571232539432,499.6002658205944,240.2383810676284,24.023838106762845,0.0,0.0,0.0,13.629771308026642,71.73563846329812,2489.4699825846387,609.2253865357421,0.0,0.0,99.07907469679546,0.0,0.0,0.0,0.0,0.0,0.0,490.53177603095236,243.2210320200097,89.43469528986887,143.70771561285486,490.53177603095236,0.0,490.53177603095236,0.0,0.0,0,True,8.867117650558464,4537.204501928644,3869.763954306436,3784.9537672785827,7.179107456367364,3515.0
4,0.8400000000000001,24.88880270128541,18.981358515394483,57.93958034775024,13.213489688170451,9.725732269684883,24.91545089181848,4.289385585896058,153.9538,1.7462298274040223e-16,83.83358988132453,2742.320732407994,75.93552569790549,1001.1642424776148,983.2437030633591,138.2885126182374,9219.234174549158,2765.7702523647476,6453.46392218441,4517.424745529087,1290.692784436882,645.3463922184413,0.0,2269.638518408391,7212.044800931918,0.9858014360684577,1.551348531060003,2302.3282735923904,7315.9203639373545,3.723263387008101,11.831109727377394,0.9888187463971035,2269.638518408391,1.6216604868422184,0.19858256881242023,645.3463922184415,0.0,0.0,0.0,-0.296682052118004,0.593364104236008,1.0027832907353178,1.2994653428533218,1.0,0.3968479101510971,1222.5027160280645,1214.944144877261,636.3839412338618,180.90931494550819,18.09093149455082,0.0,0.0,0.0,18.919971867643252,99.57879930338554,3009.1508703011136,752.5725363088582,0.0,0.0,175.06318085432787,0.0,0.0,0.0,0.0,0.0,0.0,602.7672182360925,304.87387150266846,114.22094300399176,183.87098629824487,602.7672182360925,0.0,602.7672182360925,0.0,0.0,0,True,6.859869806493006,5304.369443483891,3705.517918625308,4102.638518408391,6.730236406293909,3515.0
5,1.0,3.4294008361967596,15.497896711237525,68.27174302310462,17.254845533329426,14.817551757433042,28.075396192251173,6.60696594644746,153.9538,1.164153218269348e-16,97.77244807455435,3123.5787333131534,86.49265214308403,1088.4357218488515,1132.6877421445704,159.53740984879542,10635.827323253028,3190.7481969759083,7445.079126277119,5211.555388393984,1489.0158252554238,744.5079126277121,0.0,2515.089158308367,10015.615751277563,0.9812457887806386,1.6360666906012469,2563.159187091936,10207.040749416754,3.639290406777541,14.492422346613877,0.9957015212249247,2515.089158308367,9.008237404260425,0.9340440053484275,126.71178197565916,308.8980653260265,308.8980653260265,67.13639711978293,-0.37270757534910315,0.7454151506982063,1.1272924246508969,1.5,1.0,0.2902269084375154,1393.4043148392964,1383.6378175863736,730.4864428562552,146.759982804828,14.6759982804828,0.0,0.0,0.0,22.869546614288467,120.36603481204456,3601.3625863386146,917.521089746253,0.0,0.0,266.71593163379475,0.0,0.0,0.0,0.0,0.0,0.0,688.1226340937721,346.5366008874835,131.33078102386867,211.18929618776838,688.1226340937721,0.0,685.5682537565134,2.5543803372586162,0.0,2,True,7.9187688600899975,6008.636421331222,3611.673198986511,4348.089158308367,6.2916096271864035,3512.4456196627416
6,1.0,0.0,0.1760482598774375,75.22118895673472,20.500889433435226,20.409803553762707,28.463735343988507,9.182134452201405,153.9538,1.164153218269348e-16,100.0,3081.5267263902297,85.32822187983753,948.0760095343235,1134.5029719825645,159.78681055996705,10652.454037331137,3195.7362111993407,7456.717826131796,5219.702478292257,1491.3435652263595,745.6717826131799,0.0,2440.7314993457135,12856.971880674379,0.9805663774498661,1.6370610372258967,2489.103803144119,13111.78128920877,3.270367188018495,17.227220194890535,0.9187649535038337,2440.7314993457135,0.0,0.0,0.0,372.83589130658993,372.83589130658993,81.03592657018321,-0.42981102545437594,0.8596220509087519,1.0701889745456241,1.5,1.0,0.2902269084375154,1376.7399738578274,1363.873065247224,733.8668883128992,1.7457474765793657,0.1745747476579366,0.0,0.0,0.0,27.370355656173473,144.05450345354458,3509.343829456793,929.5664014526702,0.0,0.0,367.37646396772874,0.0,0.0,0.0,0.0,0.0,0.0,685.6901484112569,340.9136872851781,132.3130873812336,212.46337374484503,685.6901484112569,0.0,684.3440702309157,1.3460781803413049,0.0,1,True,7.3244627183903255,5974.253605236446,3645.0576004114946,4273.731499345713,5.726427208239837,3513.653921819659
7,1.0,0.0,0.0,67.70316603333153,23.515214330792904,25.602852181792745,25.559093026001097,11.573474428081731,153.9538,1.164153218269348e-16,100.0,2980.785900137333,82.5386839857642,908.9286531908274,1134.5029719825645,159.78681055996705,10652.454037331137,3195.7362111993407,7456.717826131796,5219.702478292257,1491.3435652263595,745.6717826131799,0.0,2415.1659966605284,15786.416752561883,0.9805663774498661,1.6370610372258967,2463.0316235618734,16099.284164338995,2.9963996719585153,19.58557467444569,0.8202626112374386,2415.1659966605284,0.0,0.0,0.0,372.83589130658993,372.83589130658993,81.03592657018321,-0.4291957809704602,0.8583915619409204,1.0708042190295397,1.5,1.0,0.2902269084375154,1333.8940489455883,1317.068246265856,705.3490843934004,0.0,0.0,0.0,0.0,0.0,26.671013103871626,140.37375317827173,3368.9700762785214,929.5664014526702,0.0,0.0,460.8513392722694,0.0,0.0,0.0,0.0,0.0,0.0,661.1502415823464,329.82360492588873,127.74706785903071,203.57956879742702,661.1502415823464,0.0,661.1502415823464,0.0,0.0,0,True,8.381209929314728,5665.777777919641,3733.834427005142,4248.165996660528,5.27052932031161,3515.0
