ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_1,2024,2.309,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_2,2024,25.464,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_3,2024,26.023,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_4,2024,,U,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_5,2024,2.579,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_7,2024,13.514,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_8,2024,16.636,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_D,OCU_ISCO08_9,2024,4.784,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_TOTAL,2024,141.915,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_1,2024,3.432,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_2,2024,11.404,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_3,2024,36.522,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_4,2024,1.889,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_5,2024,1.887,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_6,2024,0.502,U,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_7,2024,2.649,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_8,2024,46.425,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_E,OCU_ISCO08_9,2024,37.206,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_TOTAL,2024,2064.768,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_1,2024,61.529,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_2,2024,217.624,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_3,2024,305.467,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_4,2024,2.938,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_5,2024,17.646,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_6,2024,2.375,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_7,2024,976.448,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_8,2024,163.397,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_F,OCU_ISCO08_9,2024,317.343,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_TOTAL,2024,3214.702,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_1,2024,40.93,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_2,2024,261.572,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_3,2024,603.772,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_4,2024,14.092,,,,R1:3513
