key,p10,p50,p90,base_final,top_lever,top_rho
agi-20y~compute-parity,1585.0,1904.0,2257.2,1982.0,demand_multiplier,0.4461
agi-20y~cw-robot-tax+ubi,2881.8,3258.5,3566.5,3382.6,ubi_annual,0.4841
agi-20y~cw-robot-tax+compute-parity,1552.4,1852.3,2166.2,1950.4,lfp_exit_rate,0.527
agi-20y~grt-robot-tax+ubi,2856.8,3226.4,3539.2,3351.6,ubi_annual,0.4845
agi-20y~grt-robot-tax+compute-parity,1524.9,1827.3,2138.2,1922.3,lfp_exit_rate,0.5277
agi-20y~ubi+compute-parity,2554.0,2909.1,3220.5,3054.2,ubi_annual,0.4905
agi-20y~cw-robot-tax+ubi+compute-parity,2551.1,2909.8,3243.6,3019.3,ubi_annual,0.4868
agi-20y~grt-robot-tax+ubi+compute-parity,2517.6,2880.0,3214.6,2988.3,ubi_annual,0.4886
agi-5y,2801.3,3103.0,3433.6,3119.8,ssdi_annual,0.643
agi-5y~cw-robot-tax,2710.7,3032.4,3345.9,3077.0,lfp_exit_rate,0.6365
agi-5y~grt-robot-tax,2673.6,3000.4,3312.9,3039.0,lfp_exit_rate,0.6359
agi-5y~ubi,3819.7,4211.2,4619.6,4295.3,ssdi_annual,0.4881
agi-5y~compute-parity,2354.9,2683.6,3016.0,2674.8,ssdi_annual,0.5907
agi-5y~cw-robot-tax+ubi,3800.1,4218.6,4569.3,4249.4,ubi_annual,0.4575
agi-5y~cw-robot-tax+compute-parity,2276.5,2586.8,2955.2,2632.1,ssdi_annual,0.6196
agi-5y~grt-robot-tax+ubi,3777.7,4173.1,4530.2,4208.5,ubi_annual,0.4592
agi-5y~grt-robot-tax+compute-parity,2239.6,2549.4,2918.1,2594.0,ssdi_annual,0.6172
agi-5y~ubi+compute-parity,3358.6,3776.2,4182.3,3817.0,ssdi_annual,0.5035
agi-5y~cw-robot-tax+ubi+compute-parity,3373.8,3764.9,4152.4,3771.1,ubi_annual,0.4331
agi-5y~grt-robot-tax+ubi+compute-parity,3336.5,3723.7,4112.6,3730.2,ubi_annual,0.4345
ai-2027,2083.3,2343.2,2562.0,2502.2,adoption_end,0.4524
ai-2027~cw-robot-tax,1955.1,2291.0,2574.0,2435.8,demand_multiplier,0.4616
ai-2027~grt-robot-tax,1906.0,2228.9,2513.3,2376.7,demand_multiplier,0.4677
ai-2027~ubi,3037.9,3408.1,3769.7,3578.9,ubi_annual,0.5347
ai-2027~compute-parity,1441.1,1686.3,1914.6,1810.3,compute_effective_rate,-0.3756
ai-2027~cw-robot-tax+ubi,2975.1,3318.9,3630.4,3510.2,ubi_annual,0.4731
ai-2027~cw-robot-tax+compute-parity,1343.9,1643.9,1926.4,1743.9,demand_multiplier,0.4839
ai-2027~grt-robot-tax+ubi,2936.6,3259.5,3566.0,3449.1,ubi_annual,0.4843
ai-2027~grt-robot-tax+compute-parity,1289.5,1584.6,1870.7,1684.8,demand_multiplier,0.4909
ai-2027~ubi+compute-parity,2384.5,2769.7,3080.6,2863.4,ubi_annual,0.5077
ai-2027~cw-robot-tax+ubi+compute-parity,2335.5,2679.6,2994.7,2794.7,ubi_annual,0.5371
ai-2027~grt-robot-tax+ubi+compute-parity,2279.4,2625.8,2928.3,2733.6,ubi_annual,0.5406
ai2040-plan-a,1089.1,1661.8,2277.4,2196.6,adoption_end,0.596
ai2040-plan-a~cw-robot-tax,1063.1,1681.3,2191.6,2128.3,adoption_end,0.6102
ai2040-plan-a~grt-robot-tax,1019.9,1619.0,2126.1,2067.5,adoption_end,0.608
ai2040-plan-a~ubi,2069.7,2529.9,3048.3,2839.6,adoption_end,0.5786
ai2040-plan-a~compute-parity,519.9,1008.6,1564.0,1484.7,adoption_end,0.5281
ai2040-plan-a~cw-robot-tax+ubi,1999.7,2539.0,3053.9,2771.2,adoption_end,0.5739
ai2040-plan-a~cw-robot-tax+compute-parity,470.6,1048.4,1500.3,1416.4,adoption_end,0.5617
ai2040-plan-a~grt-robot-tax+ubi,1951.5,2476.7,2989.1,2710.3,adoption_end,0.5666
ai2040-plan-a~grt-robot-tax+compute-parity,425.4,981.4,1449.8,1355.6,adoption_end,0.5577
ai2040-plan-a~ubi+compute-parity,1496.7,1895.1,2349.3,2126.4,adoption_end,0.4891
ai2040-plan-a~cw-robot-tax+ubi+compute-parity,1417.8,1866.8,2309.2,2058.0,adoption_end,0.4761
ai2040-plan-a~grt-robot-tax+ubi+compute-parity,1362.5,1808.9,2247.9,1997.1,adoption_end,0.4663
ai2040-plan-d,2782.1,3092.3,3404.0,3124.8,ssdi_annual,0.5637
ai2040-plan-d~cw-robot-tax,2693.7,2980.5,3285.4,3062.0,lfp_exit_rate,0.5924
ai2040-plan-d~grt-robot-tax,2642.3,2931.7,3232.7,3006.2,lfp_exit_rate,0.5901
ai2040-plan-d~ubi,3795.1,4168.9,4548.6,4282.8,ubi_annual,0.4486
ai2040-plan-d~compute-parity,2173.7,2476.9,2787.6,2471.4,ssdi_annual,0.4573
ai2040-plan-d~cw-robot-tax+ubi,3728.9,4159.6,4479.2,4214.5,ubi_annual,0.473
ai2040-plan-d~cw-robot-tax+compute-parity,2036.1,2375.5,2706.8,2408.5,ssdi_annual,0.5225
ai2040-plan-d~grt-robot-tax+ubi,3670.0,4100.8,4421.4,4153.8,ubi_annual,0.474
ai2040-plan-d~grt-robot-tax+compute-parity,1986.9,2315.2,2646.3,2352.7,ssdi_annual,0.5205
ai2040-plan-d~ubi+compute-parity,3123.2,3508.2,3890.0,3571.8,ubi_annual,0.4894
ai2040-plan-d~cw-robot-tax+ubi+compute-parity,3098.1,3458.6,3829.6,3503.5,ubi_annual,0.4365
ai2040-plan-d~grt-robot-tax+ubi+compute-parity,3033.8,3396.7,3771.5,3442.8,ubi_annual,0.4386
