group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Total
Net,Net fiscal impact (federal),net,-93.90039032149642,-125.6750875979507,-163.3433522374492,-201.22113693139795,-240.35220169564457,-281.1076740757759,-776.140537143225,-1188.1086885895284,-1650.107327634223,-2089.8125977125665,-2156.183464579345,-2259.7256072247983,-2306.7761940859427,-2318.3410399976174,-15850.795299826961
Levels,Federal revenue (absolute),level,4945.231073218392,4922.851893496336,4907.712208736523,4894.211010068195,4881.596203107449,4869.568516594716,4684.2850842014195,4466.179979011069,4225.882128048597,3927.146119412356,3783.538681562859,3760.2640397568475,3777.902467548587,3821.5922382521367,3821.5922382521367
Levels,Federal deficit (absolute),level,1926.9003903214964,1958.6750875979506,1996.3433522374492,2034.221136931398,2073.3522016956445,2114.107674075776,2609.1405371432247,3021.1086885895284,3483.107327634223,3922.8125977125665,3989.183464579345,4092.725607224798,4139.776194085943,4151.341039997617,4151.341039997617
Levels,Federal debt (Δ cumulative),level,93.9003903214964,223.33149353230692,395.60810551104845,612.6535666628885,877.5119110250486,1193.7200615418265,2017.6094011467244,3286.4224657821214,5067.98669204763,7360.518757442102,9811.12297231913,12463.293498436695,15268.601432460107,18197.686529756127,18197.686529756127
Levels,Deficit (% of GDP),level,6.431479923803946,5.9660770655709925,5.544973661197793,5.148489147564848,4.778245780327704,4.433528188989847,4.556823742192677,4.4146737572794725,4.277107478261829,4.177388341196932,3.9407122291439673,3.746191562913052,3.510753814149712,3.260902914737528,3.260902914737528
State & local,State income tax,flow,-11.330025429520365,-19.38743614231122,-26.601484707458223,-33.79831673663157,-41.15315844884799,-48.71859910753302,-108.71660804043806,-176.29210547393973,-246.57311511765982,-300.8755168125839,-309.6989726135082,-308.8429159223109,-304.15550789622387,-296.35331184265004,-2232.4970742916166
State & local,State consumption tax,flow,-3.6429851181681703,-6.9488413809648035,-9.640635249910359,-12.313527066997535,-15.04023656904257,-17.842481473079957,-37.452431284451414,-63.24509052338823,-90.08540606321722,-112.27429733831866,-119.27668458592133,-118.64973716301395,-116.6431298183502,-113.8623220120456,-836.91780564687
State & local,Survivor wage taxes (state),flow,1.4186262723821497,3.4794010000399447,5.232710593466051,6.914224805712755,8.613013749199592,10.344481147176754,17.999094447733206,28.68637903307556,37.32259231646738,25.397710571992306,12.567959831893543,5.712794362484916,1.6328164282482867,0.037148719263670464,165.35895327913613
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,5.288192426394081,10.506050435934121,14.563533303004679,18.56687554137219,22.64242157791936,26.829473493687185,56.86893454672421,98.54978809130941,142.12044437826032,179.0081771902026,191.0894273477173,188.77133326506797,184.1984948955133,178.2774525661046,1317.2805990592112
State & local,Net fiscal impact (state),net,-18.84257670170047,-33.3629269591702,-45.57294266690722,-57.764494539288506,-70.22280284661034,-83.0460729271234,-185.03887942388045,-309.40060505556175,-441.4563732426698,-566.7602807691128,-607.4971247152532,-610.5511919879077,-603.3643161818388,-588.4559377015368,-4221.3365257185615
State & local,Gap states must close,memo,18.84257670170047,33.3629269591702,45.57294266690722,57.764494539288506,70.22280284661034,83.0460729271234,185.03887942388045,309.40060505556175,441.4563732426698,566.7602807691128,607.4971247152532,610.5511919879077,603.3643161818388,588.4559377015368,4221.3365257185615
State & local,…closed via rate hikes,memo,9.421288350850235,16.6814634795851,22.78647133345361,28.882247269644253,35.11140142330517,41.5230364635617,92.51943971194022,154.70030252778088,220.7281866213349,283.3801403845564,303.7485623576266,305.27559599395386,301.6821580909194,294.2279688507684,2110.6682628592807
State & local,…closed via spending cuts,memo,9.421288350850235,16.6814634795851,22.78647133345361,28.882247269644253,35.11140142330517,41.5230364635617,92.51943971194022,154.70030252778088,220.7281866213349,283.3801403845564,303.7485623576266,305.27559599395386,301.6821580909194,294.2279688507684,2110.6682628592807
